id,name,email,password,bid_Id,user_role
1,Tobi Ade,tobiade@fake.com,P@lindrome1!,1,CUSTOMER
2,Funmi Lakun,funmilakun@fake.com,P@lindrome1!,2,CUSTOMER
3,Willi Wonika,williwo@fake.com,P@lindrome1!,3,CUSTOMER
4,Juman Jinus,jumanji@fake.com,P@lindrome1!,4,CUSTOMER
5,Fini Caste,finicast@fake.com,P@lindrome1!,5,CUSTOMER
6,Winnow,winnow@fake.com,P@lindrome1!,6,CUSTOMER
7,Wemimo,wemmy@fake.com,P@lindrome1!,7,CUSTOMER
8,Judie Kay,judieK@fake.com,P@lindrome1!,8,CUSTOMER
9,Jobudu,jobudu@fake.com,P@lindrome1!,9,CUSTOMER
10,Johnson Fardouk,johnnyfa@fake.com,P@lindrome1!,10,CUSTOMER


